survey_question,response_counts
,Counter({'': 1})
age_textbox_response,Counter({'': 1})
education_response,Counter({'': 1})
educationother_response,Counter({'': 1})
ethnicity_response,Counter({'': 1})
gender_response,Counter({'': 1})
genderother_response,Counter({'': 1})
handedness_response,Counter({'': 1})
native_english_response,Counter({'': 1})
online_sr_q1option1_response,Counter({'': 1})
online_sr_q1option2_response,Counter({'': 1})
online_sr_q1option3_response,Counter({'': 1})
online_sr_q1option4_response,Counter({'': 1})
online_sr_q1option5_response,Counter({'': 1})
online_sr_q1option6_response,Counter({'': 1})
online_sr_q1option7_response,Counter({'': 1})
online_sr_q2option1_response,Counter({'': 1})
online_sr_q2option2_response,Counter({'': 1})
online_sr_q2option3_response,Counter({'': 1})
online_sr_q3_response,Counter({'': 1})
online_sr_q4option1_response,Counter({'': 1})
online_sr_q4option2_response,Counter({'': 1})
online_sr_q4option3_response,Counter({'': 1})
online_sr_q4option4_response,Counter({'': 1})
online_sr_q4option5_response,Counter({'': 1})
online_sr_q4option6_response,Counter({'': 1})
online_sr_q4option7_response,Counter({'': 1})
online_sr_q4other_response,Counter({'': 1})
online_sr_q5_response,Counter({'': 1})
raceoriginoption1_response,Counter({'': 1})
raceoriginoption2_response,Counter({'': 1})
raceoriginoption3_response,Counter({'': 1})
raceoriginoption4_response,Counter({'': 1})
raceoriginoption5_response,Counter({'': 1})
raceoriginoption6_response,Counter({'': 1})
region_response,Counter({'': 1})
regionother_response,Counter({'': 1})
subject,Counter({'1002': 1})
task_location_response,Counter({'': 1})
task_locationother_response,Counter({'': 1})
veteran_response,Counter({'': 1})
